Year,Strata,Report_Group,grpID,Mean,SD,95CIL,95CIU
2011,1,Total Summer,2,0.9955,0.00586,0.979,1
2011,1,Lower Summer,4,0.8174,0.05649,0.692,0.916
2011,1,Middle Summer,5,0.1774,0.05634,0.08,0.304
2011,1,UppKoy+Main,7,0.1761,0.05638,0.078,0.303
2011,1,Tanana Summer,8,0.0013,0.00388,0,0.013
2011,1,Total Fall,9,0.0045,0.00586,0,0.021
2011,1,Tanana Fall,10,0.0011,0.00275,0,0.009
2011,1,Border US,11,0.0019,0.00407,0,0.014
2011,1,Border CA,12,0.0013,0.00262,0,0.009
2011,1,Porcupine CA,13,0.0004,0.0013,0,0.003
2011,1,Mainstem CA,14,0.001,0.0023,0,0.007
2011,1,Upper Canada,1,0.0008,0.00182,0,0.006
2011,1,White UC,3,0.0005,0.00139,0,0.004
2011,1,Teslin UC,6,0.0003,0.00122,0,0.003
2011,1,Fall US,15,0.0028,0.00491,0,0.017
2011,1,Mainstem+Upper CA,16,0.0016,0.00296,0,0.01
2011,1,Border US+Canada,17,0.0036,0.00514,0,0.018
2011,1,Total USA,18,0.9981,0.0032,0.989,1
2011,1,Total Canada,19,0.0019,0.00321,0,0.011
2011,2,Total Summer,2,0.9885,0.0119,0.958,1
2011,2,Lower Summer,4,0.8767,0.06643,0.754,0.985
2011,2,Middle Summer,5,0.1112,0.06792,0.001,0.239
2011,2,UppKoy+Main,7,0.1093,0.06804,0.001,0.238
2011,2,Tanana Summer,8,0.0019,0.00535,0,0.019
2011,2,Total Fall,9,0.0115,0.01191,0,0.042
2011,2,Tanana Fall,10,0.0081,0.01078,0,0.037
2011,2,Border US,11,0.0009,0.00192,0,0.006
2011,2,Border CA,12,0.0017,0.00357,0,0.012
2011,2,Porcupine CA,13,0.0003,0.00086,0,0.002
2011,2,Mainstem CA,14,0.0016,0.00347,0,0.012
2011,2,Upper Canada,1,0.00125,0.00274,0,0.01
2011,2,White UC,3,0.0005,0.00124,0,0.003
2011,2,Teslin UC,6,0.0009,0.00247,0,0.009
2011,2,Fall US,15,0.0088,0.01096,0,0.038
2011,2,Mainstem+Upper CA,16,0.0027,0.00445,0,0.015
2011,2,Border US+Canada,17,0.0035,0.00494,0,0.017
2011,2,Total USA,18,0.9972,0.00452,0.984,1
2011,2,Total Canada,19,0.0028,0.00454,0,0.016
2011,3,Total Summer,2,0.9914,0.01034,0.963,1
2011,3,Lower Summer,4,0.9098,0.05262,0.796,0.992
2011,3,Middle Summer,5,0.081,0.0538,0.001,0.198
2011,3,UppKoy+Main,7,0.0775,0.05399,0,0.196
2011,3,Tanana Summer,8,0.0035,0.00938,0,0.034
